Price,Area_sqft,Bedrooms,City
144741,1428,3,Mumbai
80202,1433,1,Bangalore
131883,1640,5,Chennai
137124,633,4,Chennai
108973,2605,4,Hyderabad
150145,1184,2,Chennai
199192,2720,5,Bangalore
417939,2352,3,Bangalore
177599,1314,1,Hyderabad
185122,1672,2,Bangalore
156807,579,4,Mumbai
62355,702,3,Bangalore
160611,1752,3,Bangalore
167730,2199,1,Chennai
557724,1750,4,Chennai
147830,2182,5,Bangalore
189240,2055,3,Hyderabad
159954,2594,1,Chennai
90731,1756,5,Hyderabad
288200,2049,4,Bangalore
237035,1666,3,Bangalore
241715,1896,5,Mumbai
103291,970,5,Chennai
328206,1535,5,Bangalore
80746,1853,3,Mumbai
218257,1467,3,Chennai
486614,857,2,Bangalore
99183,1167,4,Bangalore
122620,872,1,Chennai
171069,1531,5,Chennai
126533,1645,2,Chennai
74956,1871,1,Bangalore
168431,589,2,Bangalore
95687,1039,3,Mumbai
206240,1368,5,Hyderabad
102774,540,1,Chennai
353262,1239,1,Bangalore
110015,2446,1,Bangalore
138547,1724,1,Chennai
244448,1428,1,Hyderabad
87953,2536,2,Chennai
182358,1424,5,Hyderabad
312878,2081,3,Bangalore
72857,889,3,Hyderabad
178495,2117,3,Mumbai
185338,755,3,Bangalore
240604,1208,2,Mumbai
87686,2338,4,Chennai
84100,2444,5,Chennai
211286,2997,1,Chennai
188809,509,4,Hyderabad
184470,1297,3,Bangalore
193537,1376,4,Chennai
115842,1528,5,Chennai
182796,1515,1,Bangalore
188440,2324,1,Chennai
113871,873,5,Mumbai
413696,2693,5,Bangalore
206264,723,3,Bangalore
89710,1762,1,Bangalore
225996,2724,4,Mumbai
99973,2302,2,Bangalore
241238,1352,2,Mumbai
290482,562,5,Bangalore
107975,1740,3,Hyderabad
263468,1188,2,Chennai
200063,1984,1,Hyderabad
245494,2133,5,Chennai
420162,2652,4,Mumbai
143962,1010,5,Hyderabad
111650,884,4,Bangalore
104322,904,5,Chennai
108238,1017,5,Chennai
156599,975,5,Hyderabad
193025,2500,4,Mumbai
186903,2168,4,Hyderabad
246124,2393,5,Mumbai
163816,1960,2,Mumbai
336639,1213,3,Chennai
142581,582,3,Hyderabad
634177,1668,3,Hyderabad
222533,2401,4,Mumbai
106024,2548,4,Hyderabad
95277,550,2,Bangalore
207157,1184,3,Bangalore
145549,1216,3,Hyderabad
232582,1969,5,Hyderabad
206203,948,4,Mumbai
156934,1380,3,Bangalore
106574,987,2,Bangalore
76311,2323,2,Chennai
130189,2581,3,Mumbai
249745,2642,4,Chennai
181143,2074,2,Bangalore
87302,2701,5,Mumbai
177475,749,2,Hyderabad
197335,1173,1,Mumbai
104618,937,1,Hyderabad
175757,2665,4,Hyderabad
167561,1270,3,Mumbai
91905,767,4,Hyderabad
194637,2484,4,Chennai
215430,1577,4,Bangalore
279714,735,4,Hyderabad
275653,888,5,Chennai
81729,1262,5,Hyderabad
101832,2348,2,Bangalore
210558,2948,1,Chennai
210426,1123,4,Bangalore
210559,1752,2,Bangalore
1117233,1077,1,Chennai
216521,2622,3,Chennai
287156,934,5,Chennai
262236,2650,1,Mumbai
225414,1263,3,Chennai
139018,1829,1,Chennai
237871,2645,5,Chennai
110590,1858,5,Chennai
144580,2982,2,Hyderabad
127684,946,4,Mumbai
169555,2517,1,Bangalore
517792,1831,1,Chennai
63982,748,3,Hyderabad
229378,665,5,Hyderabad
72666,1858,1,Hyderabad
128544,1519,5,Bangalore
280541,1041,1,Chennai
168070,1258,2,Mumbai
94952,2628,4,Mumbai
113817,2680,1,Hyderabad
228615,1296,5,Bangalore
112963,637,2,Bangalore
181358,2731,1,Bangalore
166505,1853,3,Mumbai
117500,2375,4,Hyderabad
475428,568,1,Chennai
223453,2600,2,Mumbai
59126,1973,3,Hyderabad
178657,704,2,Hyderabad
116903,2673,2,Chennai
249251,542,3,Chennai
109506,2406,2,Chennai
153680,2658,3,Bangalore
209503,1260,1,Chennai
250917,2642,3,Hyderabad
89308,2494,3,Chennai
137688,2435,4,Hyderabad
128351,1399,3,Mumbai
117399,859,3,Bangalore
393457,2219,1,Mumbai
199284,780,4,Mumbai
86643,2387,5,Hyderabad
257540,1166,1,Mumbai
470277,592,1,Hyderabad
272728,1171,5,Chennai
76138,2469,3,Chennai
127756,560,2,Hyderabad
306647,1528,4,Chennai
114252,1989,2,Bangalore
203192,1103,5,Mumbai
239741,1181,1,Bangalore
102389,1928,1,Mumbai
157982,2780,4,Chennai
32188,1023,1,Bangalore
97519,2893,1,Chennai
143446,2468,4,Mumbai
87212,1601,4,Hyderabad
368135,2253,5,Hyderabad
79612,2336,1,Bangalore
130610,2796,1,Chennai
173749,2594,5,Chennai
334581,1644,3,Bangalore
79385,2761,3,Hyderabad
291146,2786,3,Mumbai
163589,1579,5,Bangalore
99632,2897,1,Mumbai
205058,606,5,Hyderabad
179787,547,5,Chennai
120558,836,3,Hyderabad
168535,1549,2,Bangalore
134234,1780,1,Chennai
172259,2555,3,Bangalore
226628,1124,2,Bangalore
359693,2390,2,Hyderabad
87648,1776,4,Bangalore
472842,2215,1,Hyderabad
61325,802,2,Chennai
150859,1138,3,Hyderabad
218416,555,4,Chennai
187305,1225,1,Hyderabad
119210,1025,5,Mumbai
146669,973,3,Mumbai
127197,527,2,Bangalore
121214,2625,2,Hyderabad
248898,864,3,Hyderabad
194562,1025,2,Chennai
115098,1835,4,Bangalore
255199,1382,1,Hyderabad
189785,1530,4,Bangalore
244368,1526,2,Mumbai
222974,2146,5,Hyderabad
